Title,Date,Location,Description,Link
Carmunnock Heritage Trail,1st January 2025 - 31st December 2025,"Carmunnock Parish Church, Glasgow South Side","Take a unique, free, self-guided, multi-media tour around Glasgow's last village - Carmunnock by following the Carmunnock Heritage Trail!",https://www.whatsonglasgow.co.uk/event/135455-carmunnock-heritage-trail/
Clack & Yak Knitting Group,Selected dates between 25th August 2025 - 15th December 2025,"Platform Glasgow, Glasgow East End","Get those knitting needles out and enjoy a chat and a cuppa whilst knitting, sewing or crocheting something for yourself or family and friends with Platform Glasgow's Clack & Yak Group!",https://www.whatsonglasgow.co.uk/event/070806-clack-&-yak-knitting-group/
Creative Citizens,22nd October 2025 - 1st June 2026,"Kelvingrove Art Gallery and Museum, Glasgow West End","Curated by artist Rachel Mimiec, this display in Kelvingrove's Community Gallery features props, costumes, and photography from all Creative Citizens productions!",https://www.whatsonglasgow.co.uk/event/164033-creative-citizens/
Creative Writing Taster Classes within Aye Write Book Festival,6th November 2025 - 16th November 2025,"Centre for Lifelong Learning, Glasgow City Centre","The Centre for Lifelong Learning has been involved with the Aye Write Festival for many years, 2025 is no different, with talks and workshops available during November!",https://www.whatsonglasgow.co.uk/event/164131-creative-writing-taster-classes-within-aye-write-book-festival/
Curious About Glasgow - Quirky Heritage Walks for the Curious!,1st January 2024 - 31st December 2025,"Glasgow Central Station, Glasgow City Centre","Have fun discovering Glasgow on this award-winning, quirky, self-guided, heritage walk with a treasure hunt theme from Curious About!",https://www.whatsonglasgow.co.uk/event/029428-curious-about-glasgow---quirky-heritage-walks-for-the-curious!/
Curtis Harding,10th November 2025,"Oran Mor, Glasgow West End",Soul artist Curtis Harding has announced a gig at Oran Mor Glasgow on Monday 10th November as part of his upcoming tour!,https://www.whatsonglasgow.co.uk/event/155015-curtis-harding/
Daytripping,20th September 2025 - 17th January 2026,"Platform Glasgow, Glasgow East End","Daytripping at Platform is a collection of evocative photographs documenting the joy of day trips, celebrating people and place, taken by photographer Alan Dimmick.",https://www.whatsonglasgow.co.uk/event/159671-daytripping/
Digimon Weekly Locals,Selected dates between 1st September 2025 - 29th December 2025,"The Merchants Guild, Glasgow City Centre",Join Session Zero for their weekly Digimon Locals at The Merchants' Guild on Monday evenings.,https://www.whatsonglasgow.co.uk/event/160864-digimon-weekly-locals/
Do Not Disturb!,20th October 2025 - 20th November 2025,"Hillhead Library, Glasgow West End","Do Not Disturb! is a series of staged photographs created to tell the stories of those who have been, or still are, affected by poor mental health.",https://www.whatsonglasgow.co.uk/event/163108-do-not-disturb!/
Drowning Pool + Spineshank,10th November 2025,"The Garage, Glasgow City Centre",US nu metal bands Drowning Pool and Spineshank unite for a 2025 UK tour stopping off at The Garage Glasgow on Monday 10th November!,https://www.whatsonglasgow.co.uk/event/153851-drowning-pool-+-spineshank/
Exhibition: A Visual Stroll Through Maryhill,10th September 2025 - 17th December 2025,"Maryhill Burgh Halls, Glasgow West End","The 'A Visual Stroll Through Maryhill' exhibition brings together a selection of photographs from the Maryhill Burgh Halls collection, capturing local streets, landmarks and landscapes.",https://www.whatsonglasgow.co.uk/event/161499-exhibition:-a-visual-stroll-through-maryhill/
Family Climbing Tasters,12th May 2025 - 31st December 2025,"The Climbing Academy Glasgow: The Prop Store, Glasgow North",These one-hour 'have-a-go' sessions are perfect for anyone curious about indoor climbing but not quite ready to commit to a full course!,https://www.whatsonglasgow.co.uk/event/155639-family-climbing-tasters/
Feed,13th September 2025 - 9th January 2026,"Gallery of Modern Art, Glasgow City Centre","Feed is an installation at GoMA promoting inclusive, sustainable approaches to infant feeding and public space.",https://www.whatsonglasgow.co.uk/event/163105-feed/
Flight,6th November 2025 - 15th November 2025,"Citizens Theatre, Glasgow South Side","Vox Motus's groundbreaking international hit production Flight, a heart-wrenching road story of terror, hope and survival, comes to the Citizens Theatre in November!",https://www.whatsonglasgow.co.uk/event/158214-flight/
From Pit To Pitch: A Story Of Coal Seams & Football Dreams,20th November 2024 - 31st December 2025,"Scottish Football Museum, Glasgow South Side",From Pit To Pitch: A Story Of Coal Seams & Football Dreams at the Scottish Football Museum explores the links between mining and football in Scotland.,https://www.whatsonglasgow.co.uk/event/151203-from-pit-to-pitch:-a-story-of-coal-seams-&-football-dreams/
Gartnavel Royal Summer House Residency,21st October 2025 - 1st October 2026,"Gartnavel General Hospital, Glasgow West End","Project Ability artists and inpatients from Gartnavel Royal Hospital reflect on ideas of comfort and disturbance in nature, with visits to the Gartnavel Summer House and gardens.",https://www.whatsonglasgow.co.uk/event/163106-gartnavel-royal-summer-house-residency/
Georgi Tsenov Exhbition,31st October 2025 - 14th November 2025,"Six Foot Gallery, Glasgow City Centre","Six Foot Gallery is delighted to show another selection of Georgi Tsenov's colourful, stylised oil paintings, when he returns to the venue with his latest exhibition.",https://www.whatsonglasgow.co.uk/event/145339-georgi-tsenov-exhbition/
Gin Tour and Tastings,11th January 2025 - 28th December 2025,"Isle of Cumbrae Distillers, Millport",Isle of Cumbrae Distillers' Gin Tour and Tastings highlight the important role women played in the history of gin and showcase the colourful smuggling history of the Clyde and the history of Millport!,https://www.whatsonglasgow.co.uk/event/103505-gin-tour-and-tastings/
Glasgow 850,1st January 2025 - 31st December 2025,Various Locations Glasgow,2025 will be a big year for Glasgow as we celebrate the city's 850th birthday. It's a milestone and everyone who has or does call Glasgow home is invited to the party!,https://www.whatsonglasgow.co.uk/event/148355-glasgow-850/
Glasgow Breastfeeding Buddies Support Group - Gorbals,Selected dates between 6th January 2025 - 22nd December 2025,"St Francis Community Centre, Glasgow South Side","Glasgow Breastfeeding Buddies offer FREE breastfeeding support to families in the Greater Glasgow area, join them for their weekly support group at St Francis Community Centre on Mondays!",https://www.whatsonglasgow.co.uk/event/110180-glasgow-breastfeeding-buddies-support-group---gorbals/
Glasgow Breastfeeding Buddies Support Group - Kirkintilloch,Selected dates between 6th January 2025 - 22nd December 2025,"Hillhead Community Centre, Kirkintilloch","Glasgow Breastfeeding Buddies offer FREE breastfeeding support to families in the Greater Glasgow area, join them for their weekly support group at Hillhead Community Centre on Mondays!",https://www.whatsonglasgow.co.uk/event/110181-glasgow-breastfeeding-buddies-support-group---kirkintilloch/
Glasgow Central Station Tours,1st January 2024 - 31st December 2025,"Glasgow Central Station, Glasgow City Centre","Glasgow Central Tours offer you the chance to explore behind the scenes of Glasgow's most iconic and busiest landmarks, Central Station!",https://www.whatsonglasgow.co.uk/event/017075-glasgow-central-station-tours/
Glasgow City Centre Walking Tour,11th January 2025 - 21st December 2025,"Glasgow City Chambers, Glasgow City Centre","This is a 1.5 hour tour that will take you around all the main sites of the city, giving you an excellent opportunity to find out about Glasgow's rich history and culture!",https://www.whatsonglasgow.co.uk/event/066772-glasgow-city-centre-walking-tour/
Glasgow Lindyhoppers Weekly Swing Dance Classes,Selected dates between 8th September 2025 - 1st December 2025,"Sloans Bar & Restaurant, Glasgow City Centre",Glasgow Lindyhoppers hold weekly drop-in Beginners & Improvers Swing Dance Classes at Sloans Ballroom in Glasgow City Centre!,https://www.whatsonglasgow.co.uk/event/121135-glasgow-lindyhoppers-weekly-swing-dance-classes/
Glasgow Requiem: The Walk,1st January 2025 - 31st December 2025,"Glasgow Cathedral, Glasgow City Centre","Discover the hidden lives and stories of the city on an immersive audio journey through Glasgow with The Walk, FREE to experience for everyone.",https://www.whatsonglasgow.co.uk/event/154896-glasgow-requiem:-the-walk/
Glasgow Street Art Walking Tour,11th January 2025 - 21st December 2025,Glasgow City Centre,"Immerse yourself in a different side to Glasgow on this unique street art and modern culture tour, a popular tour for those looking to go off the beaten track!",https://www.whatsonglasgow.co.uk/event/075557-glasgow-street-art-walking-tour/
Glasgow’s Winter Wonderland,6th November 2025 - 4th January 2026,Glasgow City Centre,"Glasgow's Winter Wonderland, the city's most anticipated festive celebration, will transform Glasgow Green and St Enoch Square into enchanting winter wonderlands of light, laughter and seasonal cheer!",https://www.whatsonglasgow.co.uk/event/127891-glasgow’s-winter-wonderland/
Gné,10th November 2025 - 22nd November 2025,"Cass Art Glasgow, Glasgow City Centre","Artist Jenny Lawlor presents Gné, a solo exhibition of portrait paintings at Cass Art Glasgow between 10th and 22nd November!",https://www.whatsonglasgow.co.uk/event/163765-gné/
Good Move Glasgow Health Walks,1st January 2024 - 31st December 2025,Various Locations Glasgow,"Good Move Glasgow's Health Walks are easy, fun and free. What's more, with over 50 walks taking place each week, there's bound to be one near you!",https://www.whatsonglasgow.co.uk/event/030119-good-move-glasgow-health-walks/
Hamilton,29th October 2025 - 27th December 2025,"Theatre Royal Glasgow, Glasgow City Centre","Don’t throw away your shot, West End smash hit Hamilton the musical is coming to the Theatre Royal Glasgow for an eight week run between October and December!",https://www.whatsonglasgow.co.uk/event/147933-hamilton/
Home: International Photography Exhibition,5th November 2025 - 29th November 2025,"The Glasgow Gallery of Photography: High Street, Glasgow City Centre","This November, The Glasgow Gallery of Photography will be displaying a month-long international photography exhibition with the theme Home running throughout the month.",https://www.whatsonglasgow.co.uk/event/159708-home:-international-photography-exhibition/
Innis and Gunn Pub Quiz on West Nile Street,7th January 2025 - 30th December 2025,"Innis & Gunn Brewery Taproom Glasgow City Centre, Glasgow City Centre",Sharp thinker? Get a team together for the weekly pub quiz at Innis and Gunn Brewery Taproom West Nile Street!,https://www.whatsonglasgow.co.uk/event/142943-innis-and-gunn-pub-quiz-on-west-nile-street/
Jessica Ramm: Hard Edges Soft Layers,13th September 2025 - 30th November 2025,"Gallery of Modern Art, Glasgow City Centre","Hard Edges Soft Layers is an exhibition by Jessica Ramm, artist and writer based in Glasgow, exploring vulnerability within motherhood.",https://www.whatsonglasgow.co.uk/event/163104-jessica-ramm:-hard-edges-soft-layers/
Jolomo: The Power of Colour,1st November 2025 - 29th November 2025,"The Glasgow Gallery, Glasgow City Centre","Step into a world of light, energy and joy with The Power of Colour, the latest solo exhibition by celebrated Scottish artist John Lowrie Morrison OBE (Jolomo), at The Glasgow Gallery!",https://www.whatsonglasgow.co.uk/event/164541-jolomo:-the-power-of-colour/
Joy Crookes,10th November 2025,"O2 Academy Glasgow, Glasgow South Side","South London singer, songwriter and cultural powerhouse Joy Crookes returns with her second album Juniper and supporting tour which includes a night at the O2 Academy Glasgow on November 10th!",https://www.whatsonglasgow.co.uk/event/156229-joy-crookes/
Kelvingrove Organ Recitals,13th January 2025 - 21st December 2025,"Kelvingrove Art Gallery and Museum, Glasgow West End",Kelvingrove Art Gallery & Museum holds delightful daily recitals by eminent local organists and visiting players!,https://www.whatsonglasgow.co.uk/event/007742-kelvingrove-organ-recitals/
late night drive home,10th November 2025,"King Tuts Wah Wah Hut, Glasgow City Centre","late night drive home are bringing their roots of growing up in a small town outside of El Paso around the world, don't miss them live at Glasgow's King Tut's on Monday 10th November!",https://www.whatsonglasgow.co.uk/event/160460-late-night-drive-home/
Leap then Look: Play Interact Explore,27th September 2025 - 11th May 2026,"Tramway, Glasgow South Side","Play Interact Explore is an exhibition of interactive artworks and resources created by Leap Then Look, which is artists Lucy Cran and Bill Leslie.",https://www.whatsonglasgow.co.uk/event/160040-leap-then-look:-play-interact-explore/
Live Music at Maggie’s,2nd January 2025 - 31st December 2025,"Maggies Rock n Rodeo, Glasgow City Centre",Enjoy live music 7 nights a week at Maggie's with Country classics and singalongs in the main bar every night!,https://www.whatsonglasgow.co.uk/event/148728-live-music-at-maggie’s/
Lorcana Weekly Locals,Selected dates between 1st September 2025 - 29th December 2025,"The Merchants Guild, Glasgow City Centre",Join Session Zero for their weekly Lorcana Locals at The Merchants' Guild on Monday evenings.,https://www.whatsonglasgow.co.uk/event/160865-lorcana-weekly-locals/
Maggie’s Line Dance Class,Selected dates between 6th January 2025 - 22nd December 2025,"St. Dominics Church, Bishopbriggs","Come on your own or with friends for these line dancing classes with Maggie at St Dominic's Church Hall, Bishopbriggs on Monday evenings!",https://www.whatsonglasgow.co.uk/event/130797-maggie’s-line-dance-class/
Monday Night Drama Workshops,Selected dates between 25th August 2025 - 15th December 2025,"Platform Glasgow, Glasgow East End","Monday Night Drama sessions for 8 to 16 year olds at Platform Glasgow are designed to develop skills and confidence through games, workshops and regular performance opportunities!",https://www.whatsonglasgow.co.uk/event/118566-monday-night-drama-workshops/
Mondays at One,Selected dates between 6th October 2025 - 1st December 2025,"Royal Conservatoire of Scotland, Glasgow City Centre",The Royal Conservatoire Of Scotland hold regular 'Mondays at One' events which showcase talent from across their departments.,https://www.whatsonglasgow.co.uk/event/124847-mondays-at-one/
Nature on Paper,15th October 2025 - 24th December 2025,"SPOT, Glasgow South Side","Group exhibition, Nature on Paper, is a celebration of our natural world, with each work a unique view of what the artist finds inspiring!",https://www.whatsonglasgow.co.uk/event/164007-nature-on-paper/
Our People’s Palace,20th June 2025 - 5th December 2025,Various Locations Glasgow,"Discover fascinating tales of Glasgow with the 'Our People's Palace' touring display! Check out intriguing objects and stories, celebrating Glasgow's vibrant history, coming to a venue near you.",https://www.whatsonglasgow.co.uk/event/157185-our-people’s-palace/
Platform Music Classes & Workshops,Selected dates between 25th August 2025 - 18th December 2025,"Platform Glasgow, Glasgow East End","Fancy learning to play an instrument? Platform Glasgow run weekly Fiddle, Guitar and Drum classes for juniors and adults!",https://www.whatsonglasgow.co.uk/event/070571-platform-music-classes-&-workshops/
Project Ability’s Christmas Exhibition: Feathered Friends,7th November 2025 - 20th December 2025,"Project Ability, Glasgow City Centre","Feathered Friends is Project Ability's annual Christmas fundraising exhibition, celebrating the talent, creativity, and unique perspectives of artists working in their supported studio, and beyond.",https://www.whatsonglasgow.co.uk/event/146434-project-ability’s-christmas-exhibition:-feathered-friends/
Rangers Football Club Stadium Tour,1st May 2025 - 31st December 2025,"Ibrox Stadium, Glasgow South Side","Experience the magic of this world famous stadium with your very own 'access all areas' pass on a tour of Ibrox, the home of Rangers FC!",https://www.whatsonglasgow.co.uk/event/138442-rangers-football-club-stadium-tour/
